Title,Year,Rating
The Shawshank Redemption,1994,9.3
The Godfather,1972,9.2
The Dark Knight,2008,9
The Godfather Part II,1974,9
12 Angry Men,1957,9
Schindler's List,1993,9
The Lord of the Rings: The Return of the King,2003,9
Pulp Fiction,1994,8.9
The Lord of the Rings: The Fellowship of the Ring,2001,8.9
"The Good, the Bad and the Ugly",1966,8.8
Forrest Gump,1994,8.8
The Lord of the Rings: The Two Towers,2002,8.8
Fight Club,1999,8.8
Inception,2010,8.8
Star Wars: Episode V - The Empire Strikes Back,1980,8.7
The Matrix,1999,8.7
Goodfellas,1990,8.7
One Flew Over the Cuckoo's Nest,1975,8.7
Se7en,1995,8.6
Interstellar,2014,8.7
It's a Wonderful Life,1946,8.6
Seven Samurai,1954,8.6
The Silence of the Lambs,1991,8.6
Saving Private Ryan,1998,8.6
City of God,2002,8.6
Life Is Beautiful,1997,8.6
The Green Mile,1999,8.6
Terminator 2: Judgment Day,1991,8.6
Star Wars: Episode IV - A New Hope,1977,8.6
Back to the Future,1985,8.5
Spirited Away,2001,8.6
The Pianist,2002,8.5
Parasite,2019,8.5
Psycho,1960,8.5
Gladiator,2000,8.5
The Lion King,1994,8.5
Dune: Part Two,2024,8.6
Spider-Man: Across the Spider-Verse,2023,8.6
The Departed,2006,8.5
Léon: The Professional,1994,8.5
American History X,1998,8.5
Whiplash,2014,8.5
The Prestige,2006,8.5
Grave of the Fireflies,1988,8.5
Harakiri,1962,8.6
The Usual Suspects,1995,8.5
Casablanca,1942,8.5
The Intouchables,2011,8.5
Cinema Paradiso,1988,8.5
Modern Times,1936,8.5
Rear Window,1954,8.5
Once Upon a Time in the West,1968,8.5
Alien,1979,8.5
City Lights,1931,8.5
Django Unchained,2012,8.5
Apocalypse Now,1979,8.4
Memento,2000,8.4
WALL·E,2008,8.4
Raiders of the Lost Ark,1981,8.4
12th Fail,2023,8.9
The Lives of Others,2006,8.4
Sunset Boulevard,1950,8.4
Avengers: Infinity War,2018,8.4
Paths of Glory,1957,8.4
Spider-Man: Into the Spider-Verse,2018,8.4
Witness for the Prosecution,1957,8.4
The Shining,1980,8.4
The Great Dictator,1940,8.4
Aliens,1986,8.4
Inglourious Basterds,2009,8.4
The Dark Knight Rises,2012,8.4
Coco,2017,8.4
Amadeus,1984,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3
Oldboy,2003,8.3
American Beauty,1999,8.3
Toy Story,1995,8.3
Avengers: Endgame,2019,8.4
Das Boot,1981,8.4
Braveheart,1995,8.3
Good Will Hunting,1997,8.3
Princess Mononoke,1997,8.3
Joker,2019,8.4
Your Name.,2016,8.4
High and Low,1963,8.4
3 Idiots,2009,8.4
Once Upon a Time in America,1984,8.3
Singin' in the Rain,1952,8.3
Capernaum,2018,8.4
Come and See,1985,8.4
Requiem for a Dream,2000,8.3
Toy Story 3,2010,8.3
Star Wars: Episode VI - Return of the Jedi,1983,8.3
Eternal Sunshine of the Spotless Mind,2004,8.3
The Hunt,2012,8.3
2001: A Space Odyssey,1968,8.3
Reservoir Dogs,1992,8.3
Ikiru,1952,8.3
Lawrence of Arabia,1962,8.3
The Apartment,1960,8.3
Oppenheimer,2023,8.3
Incendies,2010,8.3
North by Northwest,1959,8.3
Citizen Kane,1941,8.3
Scarface,1983,8.3
Double Indemnity,1944,8.3
M,1931,8.3
Vertigo,1958,8.3
Full Metal Jacket,1987,8.3
Amélie,2001,8.3
Heat,1995,8.3
Up,2009,8.3
A Clockwork Orange,1971,8.3
To Kill a Mockingbird,1962,8.3
The Sting,1973,8.3
A Separation,2011,8.3
Indiana Jones and the Last Crusade,1989,8.2
Die Hard,1988,8.2
Like Stars on Earth,2007,8.3
Metropolis,1927,8.3
Snatch,2000,8.2
1917,2019,8.2
L.A. Confidential,1997,8.2
Bicycle Thieves,1948,8.3
Hamilton,2020,8.3
Taxi Driver,1976,8.2
